"Questions ",Answers,My label
"How do apply for OHA scholarship?",1,Scholarships
"Do you guys have any scholarships?",1,Scholarships
"Can I apply for the scholarship?",1,Scholarships
" What are the requirements for the scholarship?",1,Scholarships
"Who is elibile for the OHA scholarship?",1,Scholarships
"Are there any funds available for students?",1,Scholarships
"Can OHA help with college?",1,Scholarships
"How do I apply for the Hawaiian Registry card?",2,verifying ancestry
"What is the Hawaiian Registry card?",2,verifying ancestry
"What are the requirements for the Hawaiian Registry card?",2,verifying ancestry
"How can I verify my ancestry?",2,verifying ancestry
"How often do I need to renew my verification?",2,verifying ancestry
"What is the Hawaiian Registry Program?",2,verifying ancestry
"How is my ancestry checked?",2,verifying ancestry
"How do I prove I am Hawaiian?",2,verifying ancestry
"Are there any loans available?",3,Loans general
"How do I get a loan?",3,Loans general
"What loans do you guys offer?",3,Loans general
"Can I get loans?",3,Loans general
"What are the requirements for loans?",3,Loans general
"Who is eligible for loans?",3,Loans general
"Do you guys provide loans?",3,Loans general
"How do I apply for loans?",3,Loans general
"How do I apply for an emergency loan?",3,Loans general
"How do I check the balance of my OHA loan?",3,Loans general
"How do I check my loan balance?",3,Loans general
"Where do I check the balance of my loan?",3,Loans general
"Are there loans for emergencies?",3,Loans general
"I need an emergency loan",3,Loans general
"what are the requirements for business loans?",4,Business loans
"What services are there for business owners?",4,Business loans
"How can you guys help business owners?",4,Business loans
"What is the Malama business loan?",4,Business loans
"What is the Hau Kanu Business loan?",4,Business loans
"Any loans for small businesses?",4,Business loans
"Is my business eligible for loans?",4,Business loans
"How do I apply for the Malama business loans?",4,Business loans
"How do I apply for the Malama loans?",4,Business loans
"How do I apply for the Hau Kanu business loan?",4,Business loans
"How do I apply for the Hau Kanu loans?",4,Business loans
"I need a personal loan",5,Personal Loans
"I need a loan for myself ",5,Personal Loans
"Do you guys have personal loans?",5,Personal Loans
"What are the requirements for personal loans ",5,Personal Loans
"Can I get a personal loan?",5,Personal Loans
"I need help paying my debt",5,Personal Loans
"Do you have loans for home improvement?",5,Personal Loans
"I am in debt, is there any way you can help?",5,Personal Loans
"How do I apply for OHA emergency financial assistance? ",6,Emergency financial assitance
"Do you have a program for emergency assistance?",6,Emergency financial assitance
"I need emergency assistance",6,Emergency financial assitance
"I need financial assistance",6,Emergency financial assitance
"How do I get financial assitance",6,Emergency financial assitance
"Requirements for financial assitance",6,Emergency financial assitance
"I need help paying my rent",6,Emergency financial assitance
"I need help paying my bills",6,Emergency financial assitance
"Need help for paying for my mortgage",6,Emergency financial assitance
"I need emergency aid",6,Emergency financial assitance
"How can I testify at an OHA board meeting?",7,OHA board meeting
"How do I submit a testimony?",7,OHA board meeting
"Where do I submit my testimony?",7,OHA board meeting
"When do I need to submit my testimony for the board meeting?",7,OHA board meeting
"What is the OHA board meeting?",7,OHA board meeting
"How do I get involved with the OHA board?",7,OHA board meeting
"Can I testify?",7,OHA board meeting
"What is Ka Wai Ola?",8,Connect with OHA
"How do I stay updated with OHA events?",8,Connect with OHA
"Do you have a newsletter?",8,Connect with OHA
"How do I know about future events?",8,Connect with OHA
"Does OHA have a newspaper?",8,Connect with OHA
"How do I stay updated?",8,Connect with OHA
"How can I learn about upcoming events?",8,Connect with OHA
"How can I learn about upcoming OHA events? ",8,Connect with OHA
"How can I apply for a job at OHA?",9,Careers at OHA
"Do you have any job openings?",9,Careers at OHA
"I need help getting a job",9,Careers at OHA
"Does OHA have job openings?",9,Careers at OHA
"How do I apply for a job?",9,Careers at OHA
"Does OHA have any openings?",9,Careers at OHA
"How do I apply for a kuleana land tax exemption?",10,Kuleana Land Tax exemption
"What is the Kuleana land tax exemption?",10,Kuleana Land Tax exemption
"Are there any tax exemptions for Hawaiians?",10,Kuleana Land Tax exemption
"I need help applying for tax exemptions?",10,Kuleana Land Tax exemption
"Who is eligible for tax exemptions?",10,Kuleana Land Tax exemption
"Are there any tax reliefs for Native Hawaiians?",10,Kuleana Land Tax exemption
"How do I verify if I am eliglble for tax exemption?",10,Kuleana Land Tax exemption
"How do I use the Papakilo database?",11,OHA Database
"How do I use the Kipuka database?",11,OHA Database
"What is the Papkilo database?",11,OHA Database
"What is Papakilo?",11,OHA Database
"What kinds of information does OHA have?",11,OHA Database
"What is the kipuka database?",11,OHA Database
"what is kipuka?",11,OHA Database
"Can I access the database?",11,OHA Database
"What is in the database?",11,OHA Database
"How do I contact my island's trustee?",12,Island Trustee
"How do I figure out who my trustee is?",12,Island Trustee
"Who is my trustee?",12,Island Trustee
"How do I contact my trustee?",12,Island Trustee
"Is there a way I can contact my trustee?",12,Island Trustee
"I need help finding my trustee",12,Island Trustee
"Please tell me who my trustee is",12,Island Trustee
"Island trustee",12,Island Trustee
"I need help paying for college",1,Scholarships
"How can I get help paying for college?",1,Scholarships
"How do I stay connected with OHA?",8,Connect with OHA
"Does OHA have any social media?",8,Connect with OHA
"loans",3,Loans general
